#Table Type: Select and Ultimate - Sex Distinct
#Table Category: mortality
#Table Details: Select and Ultimate Table - Sex Distinct 
Class,Mort Table Name,Table Type
Male,MORT04, Select and Ultimate 
Female,MORT04, Select and Ultimate 
