#Table Type: Select and Ultimate - Sex Distinct - SOA Table ID
#Table Category: mortality
#Table Details: 2001 CSO Select and Ultimate - Male & Female
Class,SOA Table ID,Table Name
Male,1514," 2001 CSO Select and Ultimate - Male, ALB  "
Female,1515," 2001 CSO Select and Ultimate - Female, ALB  "
